Region_DHS,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct
Western (pre 2022),95.2,13.7,85.3
Western (post 2022),93.7,14.8,84.1
Western North,98.6,11.1,87.9
Central,98.6,16.4,82.5
Greater Accra,95.8,8.7,91.3
Volta (pre 2022),98.3,19.0,79.1
Volta (post 2022),99.4,7.9,90.5
Oti,97.1,30.9,66.8
Eastern,99.2,10.8,89.2
Ashanti,100.0,7.1,91.3
Brong-Ahafo,98.8,11.6,87.7
Ahafo,98.0,5.4,93.1
Bono,98.6,9.3,89.7
Bono East,99.4,15.6,84.2
"Northern, Upper West, Upper East",96.7,19.7,79.6
Northern (pre 2022),95.6,27.0,71.9
..Northern(post 2022),95.6,29.7,69.0
..Savannah,95.9,28.4,71.0
..Northeast,95.6,16.8,82.6
Upper West,98.4,6.9,92.8
Upper East,99.2,2.0,97.7
