GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile
ADENTA MUNICIPAL,GREATER ACCRA,Adentan Municipal,Greater Accra,5.7042433,-0.1690967,108423,82032,8.3,41.8,18956,99635,37515,38001,90372,91225,4078,4780,265971,37.4608509950333,7.127092803350742,41.58438740728096,40.76497061709736,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
LEDZOKUKU MUNICIPAL,GREATER ACCRA,Ledzokuku Municipal,Greater Accra,5.6050983,-0.114493361214251,84358,72808,11.3,43.3,18575,82055,29909,30229,72722,76060,3468,4916,217304,37.7604646025844,8.547932849832494,40.420212122434165,38.82027022052056,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3
CHEREPONI,NORTHERN EAST,Chereponi,North East,10.1792653999999,0.207987165887793,18122,27082,53.8,44.2,49085,32497,21399,20573,20495,22457,940,1312,87176,37.277461686702765,56.3056345783243,97.71838331160365,20.787831513260528,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q3
WA EAST,UPPER WEST,Wa East,Upper West,10.06069,-2.50192,24065,29821,48.7,45.3,53226,28685,19492,18079,25357,24624,1772,2133,91457,31.3644663612408,58.19784160862482,75.17056481462956,26.312912078900467,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,1,0,Northern Belt,Q3
WA MUNICIPAL,UPPER WEST,Wa Municipal,Upper West,10.0623261,-2.5054273,55802,74417,16.5,43.4,54484,21847,35425,35028,60148,62830,2920,4321,200672,10.886919948971457,27.150773401371392,57.289108621054176,27.80756657630362,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest)
SABOBA,NORTHERN,Saboba,Northern,9.70870525,0.196098328672698,23478,30002,46.0,45.3,43917,20603,21316,20887,24741,26074,1115,1550,95683,21.53256064295643,45.89843545875443,83.0522483518646,24.53727412393006,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,0,0,Northern Belt,Q2
JIRAPA,UPPER WEST,Jirapa Municipal,Upper West,10.5366328,-2.7008646,15207,42406,50.1,47.4,44829,11356,17123,16543,23894,27936,2004,3779,91279,12.440977661893754,49.11206301558957,64.9546594636311,16.659910822861775,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest)
GUSHEGU,NORTHERN,Gushegu Municipal,Northern,9.9185016,-0.2164706,36081,41484,51.5,44.3,92056,74095,39252,37148,34170,39410,1939,2046,153965,48.12457376676517,59.790212061182736,103.8325631965208,23.434546812587275,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q4 (highest)
SISSALA WEST,UPPER WEST,Sissala West,Upper West,10.7467085,-2.29346951572635,15085,22345,32.3,46.1,31815,7964,13593,12805,16844,17554,1119,1913,63828,12.477282697248857,49.8448956570784,76.74283388569103,23.63382841386225,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest)
NANUMBA NORTH,NORTHERN,Nanumba North Municipal,Northern,8.92200959999999,-0.138644700894755,54525,46544,41.5,41.4,100046,82760,44193,43418,45870,49965,2216,3018,188680,43.8626245495018,53.02416790332839,91.41858402462566,28.89813440746237,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q4 (highest)
