GEO_DISTRICT,GEO_REGION,Uninsurance_Rate_pct,High_Uninsurance,Ecological_Zone,OOF_proba_RF,OOF_pred_RF,OOF_proba_HGB,OOF_pred_HGB,OOF_proba_LASSO,OOF_pred_LASSO,Full_proba_RF,Full_proba_HGB,Full_proba_LASSO,Full_proba_Ensemble,Full_pred_Ensemble
ADENTA MUNICIPAL,GREATER ACCRA,37.4608509950333,1,Southern Belt,1.0,1,0.9975051144006999,1,0.7684002328613294,1,1.0,0.9946714140452154,0.7770240621777101,0.9973357070226077,1
LEDZOKUKU MUNICIPAL,GREATER ACCRA,37.7604646025844,1,Southern Belt,1.0,1,0.9969993240048031,1,0.7787591363507271,1,1.0,0.9953213522745511,0.7672908567270773,0.9976606761372755,1
CHEREPONI,NORTHERN EAST,37.277461686702765,1,Northern Belt,0.955,1,0.9987195660070496,1,0.6527016991766984,1,0.99,0.9984533596022265,0.6671546683069078,0.9942266798011132,1
WA EAST,UPPER WEST,31.3644663612408,1,Northern Belt,0.295,0,0.9303110801967862,1,0.6438891598985474,1,0.725,0.9768230239423978,0.6742863418954594,0.850911511971199,1
WA MUNICIPAL,UPPER WEST,10.886919948971457,0,Northern Belt,0.07,0,0.00039939204352238084,0,0.19211939967743627,0,0.01,0.0001803571321181827,0.13199855835713015,0.005090178566059092,0
SABOBA,NORTHERN,21.53256064295643,0,Northern Belt,0.55,1,0.7062157981792417,1,0.5399660452670803,1,0.205,0.020160767022082905,0.5476956131066021,0.11258038351104145,0
JIRAPA,UPPER WEST,12.440977661893754,0,Northern Belt,0.14,0,0.005274899512605518,0,0.42965800694367545,0,0.055,0.0022162012567025673,0.34679095932623966,0.028608100628351285,0
GUSHEGU,NORTHERN,48.12457376676517,1,Northern Belt,0.985,1,0.9985061860002593,1,0.670443647477511,1,0.99,0.998695572063473,0.7355586986967928,0.9943477860317365,1
SISSALA WEST,UPPER WEST,12.477282697248857,0,Northern Belt,0.195,0,0.026991784894458398,0,0.3917614050057745,0,0.08,0.010372432071871086,0.3257074942919598,0.04518621603593555,0
NANUMBA NORTH,NORTHERN,43.8626245495018,1,Northern Belt,0.87,1,0.97697780614497,1,0.6547352225845731,1,0.97,0.9933170247748029,0.6532541773969475,0.9816585123874014,1
LAMBUSSIE-KARNI,UPPER WEST,11.416722093978638,0,Northern Belt,0.135,0,0.025726033229194256,0,0.3838700958228466,0,0.035,0.010086738334440995,0.4328394679676061,0.0225433691672205,0
BOLGATANGA MUNICIPAL,UPPER EAST,8.779094653670997,0,Northern Belt,0.05,0,0.016241706368517832,0,0.13312474631929666,0,0.015,0.009230389670777805,0.09028012680495766,0.012115194835388903,0
NANUMBA SOUTH,NORTHERN,43.46832872694456,1,Northern Belt,0.955,1,0.9740536462313231,1,0.7428872675399542,1,0.985,0.9943366329254321,0.7595854830784841,0.989668316462716,1
WENCHI MUNICIPAL,BONO,20.25601564629122,0,Middle Belt,0.19,0,0.20618990281303273,0,0.3544281444904451,0,0.045,0.03275167351266509,0.34094976783376524,0.03887583675633255,0
