Year,GGHE_pct_GDP,OOP_pct_CHE,OOP_pc_USD,CHE_pct_GDP,PVT_pct_CHE,EXT_pct_CHE
2000,0.78690648,38.04437256,,1.7894485,,2.52459407
2001,0.90174776,33.58546448,,2.00262952,,7.57544756
2002,0.69714803,31.97357178,,2.0873971,,21.37841797
2003,1.01139319,36.10242844,,2.29618859,,15.49592209
2004,1.03320158,32.52027893,,2.5311327,,22.70918846
2005,1.8994931,23.56558228,,3.50288439,,19.3505249
2006,1.78453588,35.24680328,,3.92255616,,16.70866776
2007,1.76913011,39.62923813,,3.96242404,,13.19779301
2008,1.74936557,41.125103,,3.95173097,,12.07416821
2009,2.16013789,34.95505905,,4.40091085,,13.67962265
2010,2.36881661,34.31673813,,4.73425055,,13.52300835
2011,2.35752678,32.97914886,,4.4685564,,12.00562477
2012,1.97191465,36.85724258,,3.91583276,,8.62921333
2013,1.85814357,38.87570953,,4.59225416,,16.56103325
2014,1.40883136,45.05064011,,4.01644135,,15.69008923
2015,1.5937742,35.80306244,,4.5429678,,24.93173218
2016,1.3003906,37.82372665,,3.39035821,,12.79747391
2017,1.63058531,22.65083694,,2.68786979,,14.65790272
2018,1.37083328,33.48161697,,2.43001175,,7.86229706
2019,1.9720608,28.97685051,,3.25450468,,8.7026329
2020,2.52818918,23.7503624,,4.4331708,,17.95466805
2021,2.09936643,26.49847794,,3.86030865,,14.79701519
2022,2.05082273,25.03213501,,3.6993649,,15.81056595
