Region_DHS,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct
..Northeast,27.2,55.1,33.2
..Northern(post 2022),34.1,53.4,37.8
..Savannah,30.9,46.9,31.8
Ahafo,48.3,17.5,70.7
Ashanti,61.5,9.0,79.8
Bono,61.5,11.8,77.4
Bono East,44.9,24.0,57.8
Brong-Ahafo,51.6,18.2,67.5
Central,72.9,7.4,76.6
Eastern,66.7,7.8,75.5
Greater Accra,79.2,4.4,84.6
Northern (pre 2022),32.4,52.5,35.9
"Northern, Upper West, Upper East",40.3,43.9,42.3
Oti,40.8,28.2,48.9
Upper East,55.2,25.9,56.8
Upper West,51.0,34.6,47.2
Volta (post 2022),72.0,6.7,76.4
Volta (pre 2022),60.7,14.5,66.4
Western (post 2022),65.4,9.7,76.9
Western (pre 2022),60.1,11.0,75.1
Western North,47.8,14.0,71.1
