GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile,Uninsurance_z,Spatial_Lag_Uninsurance,LISA_Ii,LISA_p,LISA_cluster,BV_Poverty_Ii,BV_Poverty_p,BV_Poverty_cluster,BV_Illiteracy_Ii,BV_Illiteracy_p,BV_Illiteracy_cluster,Gistar_z,Gistar_cluster,GWR_local_R2,GWR_beta_intercept,GWR_beta_Poverty_Incidence,GWR_beta_Illiteracy_Rate,GWR_beta_NHIS_Coverage_Women_2019
ADENTA MUNICIPAL,GREATER ACCRA,Adentan Municipal,Greater Accra,5.7042433,-0.1690967,108423,82032,8.3,41.8,18956,99635,37515,38001,90372,91225,4078,4780,265971,37.4608509950333,7.127092803350742,41.58438740728096,40.76497061709736,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.48123361536160925,0.525404870959718,0.2528424855805449,0.3713713713713714,NS,-0.6113274119453054,0.001001001001001001,HL,-0.7114268667526807,0.001001001001001001,HL,1.3895853214959257,NS,0.5891228834911543,0.3406983290563406,0.5574517626149565,0.27726264810950313,-0.7135229687905886
LEDZOKUKU MUNICIPAL,GREATER ACCRA,Ledzokuku Municipal,Greater Accra,5.6050983,-0.114493361214251,84358,72808,11.3,43.3,18575,82055,29909,30229,72722,76060,3468,4916,217304,37.7604646025844,8.547932849832494,40.420212122434165,38.82027022052056,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.5034126686558632,0.5353985862002715,0.26952643107365487,0.4194194194194194,NS,-0.668510930841157,0.006006006006006006,HL,-0.7775178076425808,0.0,HL,1.1921245112691945,NS,0.560077977724214,0.3354920954937657,0.5521979997157913,0.23937438130683394,-0.6882939413519198
CHEREPONI,NORTHERN EAST,Chereponi,North East,10.1792653999999,0.207987165887793,18122,27082,53.8,44.2,49085,32497,21399,20573,20495,22457,940,1312,87176,37.277461686702765,56.3056345783243,97.71838331160365,20.787831513260528,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q3,0.4676581263299052,-0.30870227682597706,-0.14436712837421214,0.6256256256256256,NS,0.6148293836838444,0.018018018018018018,HH,0.6052347843257814,0.023023023023023025,HH,-0.2305635376230066,NS,0.7704986774374302,-0.8594983183400631,-0.2859400578742225,1.6905568621538893,-1.1042253158906972
WA EAST,UPPER WEST,Wa East,Upper West,10.06069,-2.50192,24065,29821,48.7,45.3,53226,28685,19492,18079,25357,24624,1772,2133,91457,31.3644663612408,58.19784160862482,75.17056481462956,26.312912078900467,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,1,0,Northern Belt,Q3,0.029945568732775735,0.34853357915915584,0.010437036250390833,0.9119119119119119,NS,0.03495867094902949,0.0,HH,0.046429547735552856,0.0,HH,0.8852081285513156,NS,0.5927308183333502,-1.8171448556884404,-0.0061389653527437514,0.8339414598174446,0.6049773760576329
WA MUNICIPAL,UPPER WEST,Wa Municipal,Upper West,10.0623261,-2.5054273,55802,74417,16.5,43.4,54484,21847,35425,35028,60148,62830,2920,4321,200672,10.886919948971457,27.150773401371392,57.289108621054176,27.80756657630362,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.485915466169711,-0.4161830545794619,0.6184128375573754,0.15915915915915915,NS,-2.1975147756549305,0.003003003003003003,LH,-2.489911864509849,0.001001001001001001,LH,-1.4200205564454111,NS,0.5916883364238777,-1.8191805681005733,-0.006677392127430609,0.8342568163692042,0.6052876578028058
SABOBA,NORTHERN,Saboba,Northern,9.70870525,0.196098328672698,23478,30002,46.0,45.3,43917,20603,21316,20887,24741,26074,1115,1550,95683,21.53256064295643,45.89843545875443,83.0522483518646,24.53727412393006,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,0,0,Northern Belt,Q2,-0.6978663710928104,0.6733122106977432,-0.46988194909211173,0.18018018018018017,NS,-1.1568649726568074,0.0,LH,-1.2573825770945486,0.0,LH,1.1001610891902553,NS,0.7705971677883289,-0.9171838277017469,-0.25059044453402507,1.7831756120166171,-1.0600375395730088
JIRAPA,UPPER WEST,Jirapa Municipal,Upper West,10.5366328,-2.7008646,15207,42406,50.1,47.4,44829,11356,17123,16543,23894,27936,2004,3779,91279,12.440977661893754,49.11206301558957,64.9546594636311,16.659910822861775,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.3708755348429227,-1.269431685710892,1.7402328410954722,0.004004004004004004,LL,-1.1696438570433338,0.05205205205205205,NS,-1.878665067546315,0.002002002002002002,LH,-3.181735536534336,Cold_99,0.40148219130497753,-2.301986245020306,-0.05755356232026358,0.8668509923939954,0.39584193486220776
GUSHEGU,NORTHERN,Gushegu Municipal,Northern,9.9185016,-0.2164706,36081,41484,51.5,44.3,92056,74095,39252,37148,34170,39410,1939,2046,153965,48.12457376676517,59.790212061182736,103.8325631965208,23.434546812587275,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q4 (highest),1.2706212456582455,-0.11691721228628453,-0.14855749391408837,0.5135135135135135,NS,2.166254988225912,0.0,HH,2.088734420099395,0.0,HH,0.1620824306365182,NS,0.7378037762470189,-0.7170187091115968,-0.5189368791294641,1.698139550432188,-0.8495298832767888
SISSALA WEST,UPPER WEST,Sissala West,Upper West,10.7467085,-2.29346951572635,15085,22345,32.3,46.1,31815,7964,13593,12805,16844,17554,1119,1913,63828,12.477282697248857,49.8448956570784,76.74283388569103,23.63382841386225,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.3681880356983678,-1.057890257009922,1.4473927927228467,0.016016016016016016,LL,-1.3087554299769757,0.05905905905905906,NS,-1.9671194999984316,0.0,LH,-2.5238489281410423,Cold_95,0.44170082802590094,-2.475440061767049,-0.17643106370602302,1.0543328032402397,0.39540735813368966
NANUMBA NORTH,NORTHERN,Nanumba North Municipal,Northern,8.92200959999999,-0.138644700894755,54525,46544,41.5,41.4,100046,82760,44193,43418,45870,49965,2216,3018,188680,43.8626245495018,53.02416790332839,91.41858402462566,28.89813440746237,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,1,0,Northern Belt,Q4 (highest),0.9551282358457128,0.7804317296288253,0.7454123811183982,0.1011011011011011,NS,1.4654435082369204,0.002002002002002002,HH,1.7191764892655352,0.0,HH,2.0024014363768705,Hot_95,0.6806732742319995,0.2716172765037929,0.8261578489530889,0.012457488051567281,-0.4346407191041991
LAMBUSSIE-KARNI,UPPER WEST,Lambussie Karni,Upper West,10.846747,-2.708741,10758,19875,44.2,46.0,25646,5836,10644,9841,13368,14326,1048,1891,51118,11.416722093978638,50.17019445205212,73.96909077778581,21.04542431237529,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.4466965865414878,-1.6219131679398062,2.3464162437252085,0.002002002002002002,LL,-1.1660298184340314,0.0970970970970971,NS,-1.7882261589704636,0.007007007007007007,LH,-3.5760707565869705,Cold_99,0.4229990912610124,-2.624106193727241,-0.05174042560471765,0.9644656193136916,0.41087213888445095
