,ADENTA MUNICIPAL,LEDZOKUKU MUNICIPAL,CHEREPONI,WA EAST,WA MUNICIPAL,SABOBA,JIRAPA,GUSHEGU,SISSALA WEST,NANUMBA NORTH,LAMBUSSIE-KARNI,BOLGATANGA MUNICIPAL,NANUMBA SOUTH,WENCHI MUNICIPAL,BONGO,TANO SOUTH MUNICIPAL,KASENA NANKANA WEST,WA WEST,SUNYANI MUNICIPAL,SAWLA-TUNA-KALBA,ASANTE AKIM SOUTH,SISSALA EAST,ADA EAST,SHAI OSUDOKU,KASENA NANKANA EAST,ADA WEST,BUNKPURUGU NAKPANDURI,GARU,NINGO/PRAMPRAM,EAST MAMPRUSI,LA DADE-KOTOPON,BAWKU WEST,AOWIN,DORMAA EAST,SUAMAN,BEREKUM EAST MUNICIPAL,BIA EAST,JAMAN SOUTH MUNICIPAL,BIA WEST,SUNYANI WEST,ASUNAFO NORTH MUNICIPAL,BODI,JUABOSO,NKORANZA NORTH,KINTAMPO SOUTH,SHAMA,TANO NORTH MUNICIPAL,WASSA EAST,KETU NORTH,MPOHOR,WASSA AMENFI WEST,KETU SOUTH,WASSA AMENFI CENTRAL,KETA MUNICIPAL,KADJEBI,MFANTSEMAN MUNICIPAL,SOUTH TONGU,EKUMFI,TWIFO HEMANG LOWER DENKYIRA,JASIKAN,TWIFO ATTI-MORKWA,KRACHI EAST MUNICIPAL,AWUTU SENYA,NKWANTA SOUTH MUNICIPAL,AWUTU SENYA EAST,AFIGYA KWABRE SOUTH,LA-NKWANTANANG-MADINA,ATWIMA KWANWOMA,SEKYERE SOUTH,GA EAST,AYAWASO WEST,SEKYERE EAST,GA SOUTH MUNICIPAL,GA WEST MUNICIPAL,SEKYERE CENTRAL,GA CENTRAL MUNICIPAL,OFFINSO NORTH,KRACHI WEST,OFFINSO MUNICIPAL,OBUASI MUNICIPAL,KRACHI NCHUMURU,KWABRE EAST,AGOTIME ZIOPE,ADAKLU,EJURA-SEKYEDUMASE,ATWIMA NWABIAGYA SOUTH,AKATSI SOUTH,ATWIMA MPONUA,AKATSI NORTH,HO MUNICIPAL,ADANSI SOUTH,HOHOE MUNICIPAL,ADANSI ASOKWA,HO WEST,BOSOME FREHO,AFADZATO SOUTH,AHAFO ANO SOUTH EAST,NORTH DAYI,BEKWAI MUNICIPAL,KPANDO MUNICIPAL,BOSOMTWE,NORTH TONGU,CENTRAL TONGU,MAMPONG MUNICIPAL,AJUMAKO-ENYAN-ESSIAM,GOMOA WEST,AGONA WEST MUNICIPAL,AGONA EAST,ASSIN NORTH,ASSIN SOUTH,ASIKUMA-ODOBEN-BRAKWA,EFFUTU MUNICIPAL,GOMOA EAST,ABURA-ASEBU-KWAMANKESE,JOMORO,ELLEMBELLE,DORMAA MUNICIPAL,DORMAA WEST,NADOWLI-KALEO,PRESTEA/HUNI VALLEY,AHANTA WEST MUNICIPAL,DAFFIAMA BUSSIE ISSA,NZEMA EAST,LAWRA,NANDOM,TARKWA NSUAEM,TALENSI,SEFWI AKONTOMBRA,EFFIA KWESIMINTSIM MUNICIPAL,NABDAM,BUILSA SOUTH,BUILSA NORTH,BINDURI,PUSIGA,BAWKU MUNICIPAL,NORTH GONJA,WEST GONJA,MION,YENDI MUNICIPAL,TOLON,KUMBUNGU,WEST MAMPRUSI MUNICIPAL,MAMPRUGU MOAGDURI,ZABZUGU,TATALE SANGULI,SENE EAST,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,SENE WEST,UPPER DENKYIRA EAST MUNICIPAL,ASUTIFI NORTH,AHAFO ANO NORTH,AMANSIE CENTRAL,AMANSIE WEST,ASUTIFI SOUTH,TECHIMAN MUNICIPAL,UPPER DENKYIRA WEST,TECHIMAN NORTH,CAPE COAST METROPOLITAN,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,BANDA,SEFWI-WIAWSO,JAMAN NORTH,ASUNAFO SOUTH,TAIN,NKORANZA SOUTH,SEKYERE KUMAWU,BOLE,SEKYERE AFRAM PLAINS NORTH,ASANTE AKIM NORTH,ASANTE AKIM CENTRAL MUNICIPAL,KINTAMPO NORTH MUNICIPAL,ASOKORE MAMPONG MUNICIPAL,ATEBUBU AMANTIN,KWADASO MUNICIPAL,KPANDAI,EJISU MUNICIPAL,NKWANTA NORTH,BIAKOYE,WASSA AMENFI EAST,CENTRAL GONJA,TEMA WEST MUNICIPAL,ASHAIMAN MUNICIPAL,PRU EAST,KPONE KATAMANSO,SAVELUGU,TAMALE METROPOLITAN,SAGNERIGU,KARAGA,NORTH EAST GONJA,SOUTH DAYI,TEMPANE,BOLGA  EAST,YUNYOO-NASUAN,NANTON,ASSIN FOSU,GOMOA CENTRAL,PRU WEST,BEREKUM WEST,AHAFO ANO SOUTH WEST,AMANSIE SOUTH,ATWIMA NWABIAGYA NORTH,ADANSI AKROFUOM,ADANSI NORTH,OBUASI EAST,AFIGYA KWABRE NORTH,KUMASI METROPOLITAN,OFORIKROM MUNICIPAL,ASOKWA  MUNICIPAL,OLD TAFO MUNICIPAL,SUAME MUNICIPAL,JUABEN MUNICIPAL,ABLEKUMA CENTRAL MUNICIPAL,KORLE KLOTTEY MUNICIPAL,ABLEKUMA NORTH MUNICIPAL,AYAWASO NORTH MUNICIPAL,AYAWASO EAST MUNICIPAL,OKAIKWEI NORTH MUNICIPAL,GA NORTH MUNICIPAL,WEIJA GBAWE MUNICIPAL,KROWOR MUNICIPAL,TEMA METROPOLITAN,EAST GONJA MUNICIPAL,ABLEKUMA WEST MUNICIPAL,AYAWASO CENTRAL MUNICIPAL,ACCRA METROPOLIS,ANLOGA,SEKONDI TAKORADI METROPOLIS,KWAHU SOUTH,ASENE AKROSO MANSO,UPPER MANYA,ACHIASE,OKERE,YILO KROBO,ATIWA WEST,NEW JUABEN NORTH MUNICIPAL,FANTEAKWA NORTH,BIRIM NORTH,ASUOGYAMAN,KWAHU EAST,KWAHU WEST,LOWER MANYA,NSAWAM ADOAGYIRI,AKWAPEM SOUTH,DENKYEMBOUR,KWAEBIBIREM,KWAHU AFRAM PLAINS SOUTH,KWAHU AFRAM PLAINS NORTH,SUHUM MUNICIPAL,AYENSUANO,ABUAKWA SOUTH,UPPER WEST AKIM,WEST AKIM,AKYEM MANSA,ATIWA EAST,NEW JUABEN SOUTH MUNICIPAL,BIRIM SOUTH,ABUAKWA NORTH,AKWAPEM NORTH,FANTEAKWA SOUTH,BIRIM CENTRAL MUNICIPAL
ADENTA MUNICIPAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEDZOKUKU MUNICIPAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEREPONI,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA EAST,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA MUNICIPAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SABOBA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JIRAPA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUSHEGU,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SISSALA WEST,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NANUMBA NORTH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
