Variable,Overall,Middle Belt,Northern Belt,Southern Belt,N
Uninsurance rate (%),30.9 ± 13.5,27.3 ± 11.1,28.7 ± 17.0,39.0 ± 10.1,261
Poverty incidence (%),27.6 ± 13.4,23.3 ± 9.0,43.4 ± 11.6,21.0 ± 9.8,261
Poverty intensity (%),43.4 ± 1.7,42.7 ± 1.1,45.1 ± 2.2,43.2 ± 1.0,261
Illiteracy rate (%),29.0 ± 14.7,24.5 ± 9.3,47.3 ± 10.2,20.6 ± 11.8,261
Youth dependency ratio,61.5 ± 13.4,58.8 ± 7.5,76.3 ± 13.6,53.3 ± 10.5,261
Employment rate (%),31.7 ± 6.1,33.4 ± 2.6,24.0 ± 6.3,35.5 ± 3.9,261
"NHIS coverage — women, 2019 (%)",49.7 ± 6.2,51.3 ± 1.5,55.3 ± 5.2,42.2 ± 4.5,261
ANC skilled provider coverage (%),98.1 ± 1.6,99.2 ± 0.7,97.4 ± 1.5,96.9 ± 1.5,261
Home delivery (%),12.6 ± 7.1,10.7 ± 4.3,16.7 ± 11.7,12.2 ± 3.3,261
Female literacy (%),60.5 ± 13.1,62.3 ± 7.5,45.2 ± 10.8,70.9 ± 10.0,261
Female secondary+ education (%),69.9 ± 14.4,75.5 ± 6.0,48.3 ± 11.1,79.1 ± 4.8,261
"High uninsurance districts (n, %)",130 (49.8%),41 (33.3%),27 (42.2%),62 (83.8%),261
"Catastrophic spending proxy (n, %)",10 (3.8%),1 (0.8%),8 (12.5%),1 (1.4%),261
