Model,Feature,Importance_mean,Importance_sd,CI95_lo,CI95_hi
RF,Poverty_Incidence_pct,0.03352417302798982,0.006799015797424402,0.020641514973576056,0.04711832061068695
RF,Poverty_Intensity_pct,0.0010941475826971988,0.00042261564858984176,0.000362595419847353,0.001898120963006472
RF,Illiteracy_Rate_pct,0.008154237619886477,0.0019764712933690956,0.004846594245449243,0.012375220199647659
RF,Youth_Dep_Ratio,0.0018389117244079138,0.0007356209647601155,0.000613623018203166,0.0030835290663535765
RF,Employment_Rate_pct,0.0030906243883342954,0.0009756736429626985,0.001685995302407567,0.005164415736934811
RF,NHIS_Coverage_Women_2019_pct,2.9359953024036638e-06,8.807985907210993e-06,0.0,2.935995302403016e-05
RF,ANC_Skilled_pct,7.401486830834377e-18,2.7693827873701497e-17,0.0,1.1102230246251565e-16
RF,Home_Delivery_pct,0.0,0.0,0.0,0.0
RF,Female_Literate_pct,1.5658641612844212e-05,2.9097805338257473e-05,0.0,7.486788021145155e-05
RF,Female_No_Edu_pct,4.11039342337179e-05,5.119082728761408e-05,0.0,0.00013358778625953128
RF,Female_SecPlus_pct,3.7007434154171884e-18,1.9929113200939387e-17,0.0,3.053113317719165e-17
RF,Zone_Middle,7.401486830834377e-18,2.7693827873701497e-17,0.0,1.1102230246251565e-16
RF,Zone_Southern,1.9573302016058965e-05,2.7680829171527377e-05,0.0,5.8719906048221304e-05
HGB,Poverty_Incidence_pct,0.09264631043256995,0.013089558612603278,0.06923076923076922,0.11509688784497948
HGB,Poverty_Intensity_pct,0.0012135447249951156,0.0005691760068483358,0.0003948913681738442,0.002407516147974187
HGB,Illiteracy_Rate_pct,0.031348600508905845,0.0056239597794907545,0.021724897240164437,0.04224163241338804
HGB,Youth_Dep_Ratio,0.014041886866314341,0.00244097518610891,0.00876834997063999,0.018476218438050477
HGB,Employment_Rate_pct,0.08908005480524565,0.011387912801853632,0.07181738109219028,0.11097181444509684
HGB,NHIS_Coverage_Women_2019_pct,0.07444313955764338,0.00801311501836715,0.0606767469172049,0.08560628302994715
HGB,ANC_Skilled_pct,0.0,0.0,0.0,0.0
HGB,Home_Delivery_pct,0.0,0.0,0.0,0.0
HGB,Female_Literate_pct,0.0,0.0,0.0,0.0
HGB,Female_No_Edu_pct,0.003977294969661371,0.0014008468809412538,0.0018188490898415066,0.006513505578391054
HGB,Female_SecPlus_pct,0.0,0.0,0.0,0.0
HGB,Zone_Middle,0.0,0.0,0.0,0.0
HGB,Zone_Southern,0.0,0.0,0.0,0.0
